ID,Autobahn,Name,Standort,Art,Richtung,Fluss,Energiebedarf
,'A01','Parkplatz Großraum’,27.42,2,2,,
1.0,'A01','Steinhäusl',32.7,0,2,33516.4,219197.0
2.0,'A01','Kesselhof',44.88,1,1,33069.5,80557.2
3.0,'A01','St. Pölten',62.9,0,2,31268.6,112692.0
4.0,'A01','Schallaburg',76.81,1,1,30759.4,85572.7
5.0,'A01','Ybbs',100.32,0,1,28623.6,134588.2
6.0,'A01','Amstetten',119.36,1,1,27461.8,104574.6
7.0,'A01','Oed',130.52,2,1,28409.8,63410.8
8.0,'A01','Haag',143.54,0,1,28068.7,73090.8
9.0,'A01','Enns Süd',156.19,1,1,31463.9,79603.7
10.0,'A01','Ansfelden Süd',170.93,0,1,48152.0,141952.1
11.0,'A01','Allhaming Süd',182.59,1,1,23679.1,55219.7
12.0,'A01','Lindach Süd',212.27,0,1,24974.8,148250.5
13.0,'A01','Hainbach Süd',230.7,1,1,18126.8,66815.5
14.0,'A01','Straß',243.67,1,1,18482.3,47943.0
15.0,'A01','Mondsee',259.23,0,2,17577.9,54702.4
16.0,'A01','Vetterbach',270.63,2,1,20198.5,46052.6
17.0,'A01','Salzburger Vorland',277.55,2,1,24172.0,33454.0
18.0,'A01','Söllheim',286.46,0,1,31201.5,55601.0
19.0,'A01','Walserberg Süd',300.71,0,1,22448.8,63979.1
20.0,'A02','Guntramsdorf',14.43,0,2,52286.1,150897.7
21.0,'A02','Leobersdorf',32.08,1,1,41904.8,147924.0
22.0,'A02','Föhrenberg',39.31,0,1,41904.8,60594.4
23.0,'A02','Wr. Neustadt',51.18,1,1,32210.7,76468.3
24.0,'A02','Gleissenfeld',61.52,2,1,22784.3,47117.9
25.0,'A02','Zöbern',78.76,0,2,19899.9,68615.0
26.0,'A02','Schäffern Ost',86.7,1,1,19899.9,31601.1
27.0,'A02','Pinkafeld/Ost',97.98,2,1,18238.9,41146.9
28.0,'A02','Loipersdorf',105.5,0,2,16777.2,25232.9
29.0,'A02','St. Johann/Süd',113.05,2,1,16777.3,25333.7
30.0,'A02','Bad Blumau',134.06,1,1,18332.6,77033.5
31.0,'A02','Arnwiesen',154.1,0,2,20369.5,81640.8
32.0,'A02','Laßnitzhöhe Süd',170.65,1,1,30600.0,101286.0
33.0,'A02','Kaiserwald',190.77,0,2,22840.5,91910.2
34.0,'A02','Herzogberg Süd',220.19,1,1,9308.4,54770.8
35.0,'A02','Pack',235.21,0,2,9308.4,27962.5
36.0,'A02','Twimberg Süd',242.34,2,1,10828.0,15440.8
37.0,'A02','Fischering',259.85,2,1,11825.6,41413.2
38.0,'A02','Gönitz/Süd',268.86,2,1,12462.4,22457.2
39.0,'A02','Völkermarkt',285.09,0,2,11509.8,37360.9
40.0,'A02','Grafenstein Süd',300.0,1,1,14085.0,42001.4
41.0,'A02','Karawankenblick/Süd',333.84,2,1,19951.9,135034.4
42.0,'A02','Wörthersee',340.13,0,2,19619.1,24680.8
43.0,'A02','Sternberg/Süd',349.01,2,1,19182.8,34068.6
44.0,'A02','Federaun/Süd',362.78,2,1,16681.9,45942.0
45.0,'A02','Dreiländereck Süd',374.17,0,2,10112.3,23035.7
46.0,'A02','Dreiländereck Nord',374.27,0,2,9094.6,181.9
47.0,'A03','Hornstein',28.0,0,2,18270.3,102313.5
48.0,'A04','Maria Ellend',22.48,1,1,32397.0,145657.1
49.0,'A04','Göttlesbrunn',28.04,0,2,32397.0,36025.5
50.0,'A04','Parndorf',46.23,2,1,24533.5,89252.8
51.0,'A04','Nickelsdorf Nord',64.97,0,1,13000.0,48724.0
52.0,'A05','Hochleithen',10.63,0,2,17505.9,37217.6
53.0,'A06','Potzneusiedl',10.8,0,2,10476.0,22628.1
54.0,'A07','Engerwitzdorf',25.71,1,1,19668.0,101132.9
55.0,'A08','Voralpenkreuz',0.17,0,2,10671.7,362.8
56.0,'A08','Oberham/Süd',16.76,2,1,24268.0,80521.1
57.0,'A08','Schnittering/Süd',20.68,2,1,18316.9,14360.5
58.0,'A08','Aistersheim',33.81,0,2,17079.1,44849.6
59.0,'A08','Renhartsberg',44.47,2,1,14652.4,31238.9
,'A08','Grübl/Süd’,49.59,2,1,,
60.0,'A08','Murau West',56.77,1,1,15380.1,37835.1
,'A08','Marienkirchen/Schärding’,71.6,1,1,,
61.0,'A08','Suben West',74.77,0,1,12508.9,45031.9
62.0,'A09','Maisdorf/Ost',12.66,2,1,12209.9,30915.5
63.0,'A09','St. Pankraz',36.36,0,2,11000.0,52140.0
,'A09','Pyhrn-Priel Ost’,55.03,1,1,,
64.0,'A09','Ardning Ost',65.96,2,1,9076.7,53734.0
65.0,'A09','Rottenmann/Nord',77.91,2,1,11788.4,28174.2
66.0,'A09','Trieben',85.7,0,2,12223.7,19044.6
67.0,'A09','Gaishorn',92.11,1,1,12223.7,15670.8
68.0,'A09','Kammern Nord',121.18,2,1,12700.9,73842.8
69.0,'A09','Kammern Süd',121.26,0,2,12700.9,203.2
70.0,'A09','Ortnerhof/West',135.65,2,1,14001.2,40295.5
71.0,'A09','Hinterlainsach/West',139.3,2,1,12622.3,9214.3
72.0,'A09','Übelbach 1',154.16,2,1,13465.8,40020.3
73.0,'A09','Deutschfeistritz',161.95,0,2,13465.8,20979.7
74.0,'A09','Feldkirchen',186.97,2,1,29468.6,147461.0
75.0,'A09','Thalerhof',196.52,2,1,25429.7,48570.7
76.0,'A09','Gralla Ost',211.45,0,1,22788.5,68046.3
,'A09','Straß Ost’,225.02,2,1,,
77.0,'A10','Untersberg/Ost',4.37,2,1,76136.3,66543.1
78.0,'A10','Bruderloch',17.53,2,1,52276.1,137590.6
79.0,'A10','Golling Ost',28.76,0,1,47115.8,105822.1
,'A10','Klausgraben Ost’,50.01,2,1,,
80.0,'A10','Eben Süd',59.21,0,2,32210.7,196163.3
81.0,'A10','Eben Nord',59.32,0,2,32210.7,708.6
82.0,'A10','Tauernalm',79.79,0,2,19899.9,81470.3
83.0,'A10','Lanschütz',100.6,1,1,18238.9,75910.2
,'A10','Ried’,116.47,2,1,,
84.0,'A10','Eisentratten',125.92,0,2,18529.2,93831.7
85.0,'A10','Seeboden',141.72,2,1,20457.0,64644.1
86.0,'A10','Kamering',154.29,2,1,20369.6,51209.1
87.0,'A10','Feistritz an der Drau',162.01,0,2,25349.2,39139.1
88.0,'A11','St. Niklas/Nord',2.11,2,1,76136.3,32129.5
89.0,'A11','Rosegg',9.04,0,2,78038.9,108161.9
90.0,'A12','Langkampfen Süd',9.32,2,1,77953.1,145304.6
91.0,'A12','Angath Süd',14.1,0,2,52399.3,50093.7
92.0,'A12','Angath Nord',14.22,0,2,52325.6,1255.8
93.0,'A12','Münster Süd',36.25,1,1,41904.8,184632.7
94.0,'A12','Vomp',50.47,0,1,32210.7,91607.3
95.0,'A12','Weer Süd',55.0,1,1,32210.7,29182.9
96.0,'A12','Volders/Karlskirche',64.18,2,1,22784.3,41831.9
97.0,'A12','Sieglanger',80.39,2,1,19899.9,64515.6
98.0,'A12','Pettnau',95.81,0,2,18238.9,56248.7
99.0,'A12','Telfs Süd',103.3,2,1,16777.2,25132.2
100.0,'A12','Haiming Süd',118.5,2,1,18529.2,56328.7
101.0,'A12','Imst Süd',133.49,2,1,18332.6,54961.1
102.0,'A12','Mils',135.51,0,2,18332.6,7406.4
103.0,'A13','Europabrücke',8.27,0,2,28178.9,46607.9
104.0,'A13','Gschleirs',14.05,2,1,22874.1,26442.4
105.0,'A13','Matrei Ost',16.95,0,2,22874.1,13267.0
106.0,'A13','Wipptalerhof Ost',22.41,2,1,18001.4,19657.5
107.0,'A13','Plon',23.61,2,1,18001.4,4320.3
108.0,'A13','Nößlach West',26.91,1,2,18246.2,12042.5
109.0,'A13','Nößlach Ost',27.73,2,1,19242.8,3155.8
110.0,'A13','Gries Ost',29.15,0,1,19283.1,5476.4
111.0,'A13','Brennerpaß',34.16,0,2,19283.1,19321.7
112.0,'A14','Dornbirn West',15.07,2,1,27252.2,82138.3
113.0,'A14','Hohenems',24.48,0,2,28607.7,53839.6
114.0,'A14','Rankweil Ost',33.82,2,1,21626.3,40397.8
115.0,'A14','Schlins Ost',46.85,2,1,13785.9,35926.1
116.0,'A14','Nüziders',55.2,2,1,13860.4,23146.8
117.0,'A21','Alland',14.68,0,2,23077.6,67755.8
118.0,'A21','Dornbach',19.96,2,1,23086.6,24379.5
119.0,'A21','Sparbach',26.99,2,1,23869.6,33560.6
120.0,'A22','Korneuburg West',18.04,0,1,31303.8,112944.0
121.0,'A22','Stockerau',28.09,0,1,29258.4,58809.4
122.0,'A25','Sinnersdorf/Süd',6.11,2,1,25000.0,30550.0
123.0,'A25','Wels',13.06,0,2,25398.0,35303.2
124.0,'S1A','Schwechat',9.85,0,2,34184.9,67344.2
125.0,'S1B','Deutsch Wagram',39.05,0,2,15273.6,89197.8
126.0,'S04','Pöttsching',5.43,0,2,10176.0,11051.1
127.0,'S05','Grafenwörth',32.85,0,2,11991.5,78784.3
128.0,'S06','Natschbach',3.22,0,2,13293.4,8560.9
129.0,'S06','Gloggnitz Süd',17.81,2,1,7838.2,22871.9
130.0,'S06','Schottwien',23.57,0,2,7838.2,9029.6
131.0,'S06','Schwöbing Süd',48.57,0,1,9245.4,46226.9
132.0,'S06','Kapfenberg Süd',72.45,1,1,12525.6,59822.4
133.0,'S16','Schnann',18.9,0,2,5351.0,20226.9
134.0,'S16','Klösterle',44.17,0,1,5086.4,25706.8
135.0,'S16','Radin Süd',59.01,2,1,5564.8,16516.4
,'S31',‘Mattersburg’,52.09,2,1,,
136.0,'S31','Tschurndorf',68.14,2,1,4934.1,67241.8
137.0,'S33','Inzersdorf',15.28,1,1,15166.9,46349.9
138.0,'S35','Fronleiten Ost',26.82,2,1,9725.7,52168.8
139.0,'S36','St. Marein Süd',14.97,0,1,10272.1,30754.6
140.0,'S36','Strettweg',34.61,2,1,9887.4,38837.7
,'S37’,'Hunnenbrunnen’,285.2,2,1,,
