Unnamed__0,nb,highway,position,check_need,geometry,x_coord,on_segment,Dir==0
87,560,A14,37019.8527872,0,POINT (119588.5954851958 380172.3267401662),119576.330016112,0,0
84,584,A14,32949.4023607,0,POINT (119803.0949688943 384159.1985087865),119790.505801561,0,0
93,703,A14,30219.7670219,0,POINT (119846.7043896381 386827.855536734),119835.723379451,0,0
80,578,A14,27070.4878792,0,POINT (120905.1459324496 389763.097796753),120893.423814754,0,0
92,572,A14,24812.9998027,0,POINT (122241.1596040791 391506.5301544744),122234.133277631,0,0
85,714,A14,20585.9207841,0,POINT (124845.1474828274 394728.3202149938),124837.206358012,0,0
90,697,A14,13429.9903582,0,POINT (127917.1193591802 400891.3516173991),127905.488385513,0,0
89,566,A14,53103.8274373,0,POINT (128563.3100053416 370278.8059106551),128561.150831751,0,0
86,559,A14,11188.9035771,0,POINT (128999.7890942609 402585.784106372),128991.262890236,0,0
83,550,A14,1006.25357508,0,POINT (130242.6342480494 411017.2295068511),130237.549164607,0,0
82,710,A14,2025.17626222,0,POINT (131144.1181920215 410539.335096879),131128.796298831,0,0
88,596,A14,57448.3468462,0,POINT (132259.6471097623 368369.4245205044),132253.879117686,0,0
91,602,A14,58531.3010676,1,POINT (133055.9409959666 367665.1058668413),133049.435281776,0,0
81,709,A14,59836.7970388,0,POINT (133806.2532340928 366598.3590511858),133797.74831057,0,0
222,719,S16,55340.1135107,0,POINT (141264.0993987494 366033.9949480409),141264.099416265,0,1
220,715,S16,49082.9395057,0,POINT (146981.4644425034 363820.4236723355),146981.46444272,0,1
218,9990,S16,42029.0009352,0,POINT (153856.4791594075 363859.1109587546),153856.479166482,0,1
223,8081,S16,24681.5858323,0,POINT (170117.9061626304 364580.6501192619),170117.906164056,0,1
224,691,S16,22802.5306672,0,POINT (171978.661457646 364745.1400586094),171978.661458999,0,1
221,686,S16,18659.0131186,0,POINT (175995.8796365325 365299.7058049891),175995.879635976,0,1
217,6,S16,10906.5895324,0,POINT (182944.4639888262 363664.1579052084),182944.463997547,0,1
219,680,S16,6270.51825731,0,POINT (187095.7991080678 363649.2455203722),187095.799117533,0,1
225,8156,S16,1266.90468826,0,POINT (191275.1469527747 366049.7088145788),191275.146936057,0,1
55,382,A12,141531.28188,0,POINT (195589.6053267382 368599.2908801709),195589.605317201,0,1
67,8126,A12,132452.223315,1,POINT (203437.7355536565 371881.7465590457),203437.7355519,0,1
63,674,A12,126289.726152,0,POINT (209339.8891610272 372602.6981732624),209339.889177186,0,1
62,668,A12,118164.590864,0,POINT (215886.7946608004 377035.9619808056),215886.794657326,0,1
60,662,A12,107151.128689,0,POINT (226249.2933662818 379814.8460219721),226249.29336635,0,1
59,656,A12,98876.3098088,0,POINT (233461.6313986878 380100.7314342235),233461.631403688,0,1
58,650,A12,93845.2054191,0,POINT (237955.3555124195 378286.8746449326),237955.355502484,0,1
56,644,A12,88572.6422021,0,POINT (242398.3674848246 375701.286724476),242398.367488508,0,1
66,557,A12,83473.9696211,0,POINT (247372.5308512808 375830.1803835437),247372.530856935,0,1
79,183,A13,5278.50177208,0,POINT (253162.7040224453 370809.2534062328),253171.78324784,1,0
57,518,A12,76905.0007452,0,POINT (253269.2425446526 374313.2406635172),253269.242547745,0,1
78,8045,A13,15385.923394,0,POINT (256764.0321471207 363189.4850777073),256772.520360662,1,0
73,495,A12,71612.1555234,0,POINT (258204.8092547629 375701.6825045936),258204.809276529,2,1
76,307,A13,28568.7599854,0,POINT (259242.7037106662 351151.1579536669),259252.549137023,1,0
77,287,A13,25582.4799057,0,POINT (259383.4116364908 354071.8704496184),259394.473603113,1,0
68,464,A12,65638.9987656,0,POINT (263891.2833843002 376974.4873657287),263891.283390897,2,1
72,8046,A12,58084.5911541,0,POINT (270264.7664112471 380046.2497686168),270264.76642488,2,1
65,172,A12,50310.3224643,0,POINT (276032.4548452316 384543.8379651912),276032.454838538,2,1
64,164,A12,45644.1284533,0,POINT (279748.8749739616 387067.5316253473),279748.874961906,2,1
61,152,A12,34602.0505585,0,POINT (288608.5503831081 392526.0773289325),288608.550366373,2,1
69,87,A12,24890.9946722,0,POINT (296620.5009355649 397651.8031277015),296620.500935029,2,1
74,122,A12,18663.0406481,0,POINT (302520.2232815082 399273.7975569044),302520.223290034,2,1
71,103,A12,6782.43190641,0,POINT (309925.4844409013 407494.3093885112),309925.484436323,2,1
70,96,A12,4278.61136676,0,POINT (311084.1420515425 409711.7051929201),311084.142077068,2,1
75,638,A12,527.24297373278,0,POINT (313914.2705742501 412104.5539233565),313914.270570008,2,1
13,5022,A1,291115.900105,0,POINT (372024.7570705836 430007.9242036037),372024.757070211,3,1
8,277,A1,286529.907374,0,POINT (374208.6007433451 433403.3858994312),374208.600760855,5,1
16,305,A1,284453.689879,0,POINT (375222.7788957548 435212.8149998682),375222.778895735,5,1
11,286,A1,283582.023043,0,POINT (375722.3384180896 435925.3969438786),375722.338410314,5,1
43,625,A10,2454.00040637,0,POINT (376072.8015799535 428118.5026299052),376072.801595327,4,0
23,82,A1,280794.277412,0,POINT (378345.4580681036 436808.1280455969),378345.458069109,5,1
40,269,A10,8486.79131233,0,POINT (381582.3206681445 425677.9147712184),381582.32065951,4,0
28,492,A1,275983.369289,0,POINT (381741.7138965537 439083.0266878809),381741.713898738,5,1
50,285,A10,16861.624864,0,POINT (384780.991621794 418202.2727952093),384780.99164261,4,0
48,314,A10,22465.6334568,0,POINT (385438.8801743524 412900.7897930043),385438.880210247,4,0
38,297,A10,27045.2197391,0,POINT (387138.454208505 408703.6949432216),387138.454205333,4,0
6,272,A1,269357.220572,0,POINT (388238.8201018772 439119.3822266198),388238.820105152,5,1
41,303,A10,36042.78821,0,POINT (388446.3357528111 400183.5590412368),388446.335716632,4,0
46,309,A10,40348.0228116,1,POINT (390197.1436173802 396396.2886220418),390197.143620853,4,0
47,631,A10,47624.4769386,1,POINT (395382.3713658947 392695.2049116803),395382.371363501,4,0
4,265,A1,260598.977401,0,POINT (396557.3058764448 438233.5194291425),396557.30586906,5,1
35,323,A10,56216.7788369,0,POINT (403236.1792370722 391452.1699511943),403236.179231288,4,0
39,330,A10,58691.3173705,0,POINT (404603.7096774949 389626.3234897629),404603.709670713,4,0
42,336,A10,67779.4929265,0,POINT (404706.5591588218 380803.6503740798),404706.559127715,4,0
186,186,A8,70181.3843013,0,POINT (406068.0778148883 495581.4711745561),406081.465905286,6,1
181,194,A8,74552.4793158,0,POINT (406864.2277363849 499792.6038283209),406877.185809991,6,1
5,144,A1,241211.861886,0,POINT (407913.8823551878 443767.915147061),407913.882347895,5,1
51,639,A10,86725.6492258,0,POINT (409313.718506479 363602.2367424465),409313.718518477,4,0
185,180,A8,60415.8914568,0,POINT (410544.6538141786 489013.5599732775),410554.830840449,6,1
45,570,A10,132161.171388,0,POINT (413154.0582983788 329737.4376465009),413154.058305105,4,0
37,613,A10,140072.32255,0,POINT (413776.8855405147 323336.8248454627),413776.885538739,4,0
3,137,A1,229207.283776,0,POINT (416210.3239613799 450775.198518989),416210.323960934,5,1
184,174,A8,48850.7293287,0,POINT (418451.8754402907 481877.1731791499),418457.232511268,6,1
2,259,A1,224796.67185,0,POINT (420488.6420596566 450327.3538687091),420488.642054685,5,1
36,605,A10,120197.629857,0,POINT (421001.2203845823 337831.3696370225),421001.220423067,4,0
118,595,A2,369625.413539,0,POINT (424436.3217902992 293255.4013394183),424435.365876161,7,1
180,611,A8,37648.6814622,0,POINT (427164.9089802962 475520.9768360442),427172.540006867,6,1
44,623,A10,162969.356795,0,POINT (429028.308131645 307851.8301184314),429028.308130874,4,0
116,588,A2,360909.467008,0,POINT (430871.6664049764 296320.3605543186),430878.108878629,7,1
34,253,A1,211383.836048,0,POINT (432555.3139417741 452815.2068385305),432555.313975384,5,1
0,128,A1,201382.077257,0,POINT (441013.3571816163 456112.6461110769),441013.357181631,5,1
182,169,A8,21956.8071777,0,POINT (442224.5378094601 475821.1504953066),442218.529846738,6,1
114,581,A2,346017.158968,0,POINT (443146.3920185022 301583.4528405147),443135.575172443,7,1
49,317,A10,237515.891066,0,POINT (443644.3065387059 302112.0634204815),443645.125254515,4,0
54,70,A11,1366.84757295,0,POINT (444882.1975585348 301562.6882531727),444882.197557856,8,0
110,60,A2,343485.891003,0,POINT (445246.8641916518 302853.5250873903),445246.652565521,9,1
179,162,A8,17817.1990877,0,POINT (446054.9138419005 476730.5737829997),446055.163666659,6,1
183,491,A8,12818.0469624,0,POINT (448228.9823117902 474122.7194413623),448239.637361458,10,1
117,591,A2,338372.842401,0,POINT (450151.1121850369 302235.9789000314),450154.154193808,9,1
52,632,A11,8040.69030637,0,POINT (450263.7539994707 298506.2654079883),450263.754002638,8,0
148,243,A25,17672.7785017,0,POINT (450537.4587189403 476168.2718429465),450533.395171932,11,1
187,606,A8,2694.35491511,0,POINT (451150.5250328 465017.8787142271),451161.332228153,10,1
53,7140,A11,20636.4770806,0,POINT (452061.5325405221 287579.4175121787),452061.532515849,8,0
147,778,A25,14463.0024419,0,POINT (453530.8147205117 477154.6487296884),453529.679195307,11,0
32,120,A1,185830.914484,0,POINT (453632.017956671 464354.9860682018),453632.01794831,12,1
107,54,A2,334479.775681,0,POINT (453962.2945423213 302754.1879949873),453959.523376905,9,1
202,201,A9,4011.17641795,0,POINT (454434.5751063488 459398.4362143068),454434.575100365,13,0
150,231,A25,12589.4334804,0,POINT (455381.1577719511 477006.323089747),455384.753824499,11,1
203,207,A9,10038.6534907,0,POINT (456705.477423484 453912.2951625756),456705.47744312,13,0
115,585,A2,330358.058719,0,POINT (457871.0479590546 303451.2873829712),457864.785952539,9,1
26,483,A1,175108.059244,0,POINT (460737.751554071 472316.4529625021),460737.751548261,12,1
149,772,A25,4196.27791096,0,POINT (462797.6138229115 477311.6613238851),462794.281394846,11,1
113,576,A2,322405.829772,0,POINT (465177.4158062155 303625.6219095968),465184.046095518,9,1
108,569,A2,319585.274379,0,POINT (467721.908599139 303710.0572027697),467727.000292002,9,1
29,110,A1,165288.630725,0,POINT (468117.9095088605 478116.4760905354),468117.909514951,14,1
209,217,A9,43278.4868481,0,POINT (469378.3967448052 427991.8489743246),469378.396736271,13,0
10,4122,A1,163733.562407,0,POINT (469391.8514101781 479007.6740410203),469391.851398905,14,1
174,300,A7,6650.91406328,0,POINT (471435.9593791545 486875.0319989721),471435.959407862,15,0
172,675,A7,13054.7409301,0,POINT (471492.18563742 491739.864741498),471492.18565017,15,0
178,282,A7,4963.40013013,0,POINT (471616.8167756505 485715.1655396159),471616.816771665,15,0
173,649,A7,1994.05838366,1,POINT (471668.6750273105 482756.362516143),471668.675025148,15,0
119,212,A2,313373.763241,0,POINT (472397.747240464 306701.2487897315),472390.532431562,9,1
175,334,A7,7864.80044738,1,POINT (472858.7826200137 487752.1640740071),472858.782617628,15,0
176,657,A7,11382.8522534,0,POINT (472868.6675316274 489601.7500049669),472868.667520294,15,0
188,402,A9,72260.5375853,0,POINT (474147.5185035607 404166.6732814804),474147.518500738,13,0
205,6097,A9,58152.7204666,0,POINT (474971.1408465293 415716.6570136173),474971.140866244,13,0
211,223,A9,55365.0467054,0,POINT (475313.3255203425 418398.2205797808),475313.325541743,13,0
33,507,A1,155635.3868,0,POINT (476461.7156871943 482340.5004627954),476461.715686752,16,1
177,153,A7,19776.3737215,0,POINT (477719.2925127333 493447.6038084257),477719.292506783,15,0
255,165,S37,10866.6399245,1,POINT (478532.6704332535 312095.89936401),478532.666064459,19,1
106,563,A2,301778.486187,0,POINT (482800.6648987301 305673.0203805211),482802.77851111,18,1
22,978,A1,147274.456011,0,POINT (483950.378618906 478954.7663625792),483950.378616448,16,1
215,365,S10,7443.27794981,0,POINT (485235.5266109339 501947.4432359624),485235.526617196,15,0
216,359,S10,8601.62603367,0,POINT (485697.2226261072 502964.9638798128),485697.222621629,15,0
20,450,A1,144728.939139,0,POINT (486457.9099389573 478543.2385320545),486457.909943768,16,1
213,352,S10,14842.047663,0,POINT (486485.4708303078 508375.5350401832),486485.470803335,15,0
214,346,S10,17050.6761617,0,POINT (486747.6287185719 510425.4133167704),486747.628724083,15,0
190,408,A9,90373.2161994,0,POINT (490874.4238083351 398676.4295337136),490874.423808201,13,0
27,999,A1,137219.251835,0,POINT (491232.929968118 473479.3229790786),491232.929958891,16,1
105,558,A2,283487.212456,0,POINT (498129.9100588774 309527.0807611481),498128.978834666,18,1
191,414,A9,101122.343779,0,POINT (500648.8772052416 395735.1359177531),500648.877204474,13,0
25,991,A1,123870.454228,0,POINT (502725.4302296024 469422.7135712527),502725.430233992,16,1
252,520,S36,30377.4435259,0,POINT (504504.3467771087 366595.4931241672),504497.383949905,20,1
17,439,A1,118863.213199,0,POINT (507612.1678783915 469838.5989704012),507612.167878685,16,1
104,551,A2,268544.908896,0,POINT (511045.2935465145 313945.7938556678),511039.757508828,18,1
192,420,A9,114172.483748,0,POINT (511388.2730441552 389614.0083530651),511388.273045011,13,0
102,542,A2,259641.759079,0,POINT (513051.9945794008 322010.2011900793),513040.377298319,18,1
101,534,A2,242300.170541,1,POINT (515040.438953115 337900.8074321753),515028.28913905,18,1
253,514,S36,16973.9923986,0,POINT (515406.1349441415 372754.0871540265),515399.164229337,20,1
24,983,A1,108149.544956,0,POINT (517282.6972599792 473119.6041959406),517282.6972654,16,1
100,530,A2,236599.775902,0,POINT (519005.587686746 340635.1357608712),518999.124407975,18,1
194,426,A9,124462.683008,0,POINT (521420.0568977634 388148.4354457385),521420.056901205,13,0
254,508,S36,1857.44204628,0,POINT (524926.3613895894 382986.2317067593),524923.435552477,20,1
195,432,A9,131422.082152,0,POINT (526485.5222099433 384388.2692185336),526485.522179926,13,0
21,977,A1,95921.9797941,0,POINT (528877.3031556783 472529.447642586),528877.303157074,16,1
201,6086,A9,137404.333733,0,POINT (530337.9646032936 380431.4904996864),530337.964610222,21,0
265,784,S6,92732.6768214,0,POINT (534645.9367835969 388280.0419087571),534640.365828493,22,1
15,431,A1,86647.9782429,0,POINT (537161.1369453348 476263.9763112965),537161.136942727,16,1
267,380,S6,88402.363098,0,POINT (538480.0338072514 390118.6983250825),538473.415697865,22,1
98,395,A2,203201.577945,0,POINT (545440.6813821519 342528.311197377),545427.445802003,18,1
250,453,S35,1000,0,POINT (547304.8022216605 390986.6480963307),547295.089211467,25,0
197,438,A9,160583.403073,0,POINT (549450.8114542878 370181.9103437831),549450.811482991,21,0
249,364,S35,26410.2812491,0,POINT (550148.567521508 373851.4364143456),550138.076107953,25,0
251,502,S35,18421.4853457,0,POINT (551377.5587653667 379138.4672333909),551372.900441471,25,0
189,788,A9,166374.845146,0,POINT (551539.4338272283 365143.3923768058),551539.433820471,26,0
19,961,A1,68729.7879926,0,POINT (551801.2842315199 479525.9140866773),551801.284226652,16,1
248,368,S35,34419.6830812,0,POINT (551848.225487796 367471.5940611043),551842.62101449,25,0
212,618,A9,170817.95881,0,POINT (553069.3279339565 361926.424922576),553069.327899148,26,0
262,490,S6,68214.8557483,1,POINT (553911.2074616313 398397.4588395808),553907.25264407,24,1
94,387,A2,191869.172567,0,POINT (555151.0843444504 341375.6568512936),555145.204831633,18,1
199,444,A9,177643.117135,0,POINT (555374.9706148972 355788.2899777424),555374.970578482,26,0
131,886,A2,186799.185587,0,POINT (557435.1613482971 345821.23303002),557423.839548001,18,1
200,446,A9,186310.935572,0,POINT (557964.8068754865 349221.1088251849),557964.806846771,26,0
207,470,A9,190641.883035,0,POINT (558501.2618038279 345069.0216068337),558501.261820601,28,0
261,484,S6,62140.428048,0,POINT (558539.6362950082 402180.5239198846),558531.835156884,24,1
210,350,A9,191456.038763,0,POINT (558935.871883353 344380.6499938799),558935.871872986,28,0
127,877,A2,184239.293261,0,POINT (559462.8716043093 347316.4469806956),559456.443336437,27,1
198,6070,A9,194324.74221,0,POINT (560486.6794871646 341967.4583101517),560486.67947058,28,0
122,480,A2,182779.939817,0,POINT (560774.2766905202 347956.7410714169),560767.976007543,27,1
193,804,A9,198938.665526,0,POINT (562726.9695126108 337955.5996728526),562726.969510042,28,0
206,213,A9,204604.383583,0,POINT (564036.565020223 332618.4777018678),564036.565028658,28,0
196,817,A9,208544.949862,1,POINT (566974.377658063 330009.5827929738),566974.377668715,28,0
268,478,S6,51754.6747623,0,POINT (567465.5206332925 406532.8737885385),567463.583069692,24,1
120,858,A2,170001.696454,0,POINT (571061.2861017107 353960.779000261),571066.760486216,27,1
204,463,A9,219494.117412,0,POINT (572323.2729586419 320832.7797149388),572323.272963228,28,0
12,415,A1,47281.1526507,0,POINT (572426.6006668583 477867.957720354),572426.600670339,16,1
247,52,S33,21700.2786112,0,POINT (573320.9714195988 481092.6891825433),573320.971432302,30,0
245,434,S33,10334.1962259,0,POINT (575711.753014154 489459.0095198209),575711.753025068,30,0
244,441,S33,12470.5576004,0,POINT (576357.1449427742 492214.7458580217),576357.144960298,30,0
246,659,S33,10912.9074575,0,POINT (576836.0324261209 498619.9725988238),576836.032410552,30,0
208,471,A9,226162.509857,0,POINT (576901.183998553 316389.7417461015),576901.183967969,28,0
9,409,A1,41426.8476316,0,POINT (578024.9312596087 479083.295055937),578024.931260504,31,1
14,423,A1,40735.358276,0,POINT (578715.7206545146 479114.2716998974),578715.720655236,31,1
130,373,A2,159209.429993,0,POINT (580260.1108661189 358098.4745593843),580266.159374066,27,1
259,554,S5,31037.8812774,0,POINT (582537.8997622593 503816.9399375586),582537.899762417,32,1
7,403,A1,35682.7037385,0,POINT (583743.7763220943 479107.6713006602),583743.776322939,31,1
109,828,A2,150737.98282,0,POINT (588008.7700464352 358502.4817962592),588008.819754744,27,1
31,754,A1,29504.1436072,0,POINT (589537.0711288204 477507.6494757549),589537.071137346,31,1
263,43,S6,19615.6105058,0,POINT (592744.3825832355 420501.3190475217),592744.00942622,24,1
1,385,A1,24593.3697849,0,POINT (593599.9621978018 476209.6463642153),593599.962189622,31,1
125,361,A2,144140.038417,0,POINT (594201.0050116276 356546.2450628474),594202.724365613,27,1
134,396,A21,35525.9637529,0,POINT (596799.8996083095 474349.6053648043),596814.848138559,34,1
30,751,A1,18037.0666914,0,POINT (599494.8384107985 477037.7297495904),599494.838399178,33,1
264,941,S6,10372.9709364,0,POINT (601206.4018621754 423029.0000606136),601199.667563995,24,1
123,354,A2,131573.05651,0,POINT (601393.7557879306 363347.1141184986),601382.790393977,27,1
121,348,A2,121302.101667,0,POINT (601535.4697147199 373241.4096824619),601524.528271208,27,1
133,417,A21,22949.2615963,0,POINT (603886.7767115353 466438.3412275848),603897.556166525,34,1
237,2245,S3,14438.8105325,1,POINT (605184.414307036 513932.5024693748),605184.414334732,35,1
260,461,S5,5402.43883028,0,POINT (605725.5307494475 500263.2815735167),605725.530740256,32,1
129,244,A2,105817.151687,1,POINT (606160.3710820079 384806.8448631148),606149.93399806,27,1
132,633,A2,98313.6143652,0,POINT (607524.0047002562 391728.6789039597),607514.374215778,27,1
266,469,S6,2580.80550403,1,POINT (607858.9586477943 426854.017132464),607854.298641837,24,1
18,955,A1,8125.64005772,0,POINT (608659.0588010987 478740.1910618468),608659.058800453,33,1
124,615,A2,83946.6957911,0,POINT (609274.7343346655 404440.359329087),609266.126746115,27,1
97,11,A2,67533.284691,0,POINT (610376.926471844 417311.5157931643),610364.988849913,27,1
136,411,A21,14329.3754964,0,POINT (611153.4776341724 466851.2611645742),611141.345883977,34,1
143,798,A22,28487.60622,0,POINT (612145.4762279346 501893.3282578463),612145.476229057,37,1
95,517,A2,52873.9273808,0,POINT (612737.7802738446 430462.8130596964),612725.815800625,36,1
145,793,A22,26567.0228414,0,POINT (614006.3061767129 501655.1455212113),614006.306161158,37,1
135,720,A21,10000,0,POINT (614547.0287741411 468576.5932028076),614537.575614069,34,1
103,543,A2,34280.4101508,0,POINT (614831.8111962689 447437.6967181418),614812.803408677,38,1
126,505,A2,45470.9463148,0,POINT (614916.6768369528 436965.0856285944),614897.945265172,38,1
96,394,A2,25224.5119928,0,POINT (616564.7079753812 456077.6297637197),616550.344816249,38,1
256,544,S4,16344.1122761,0,POINT (616801.5226078187 435986.7332969601),616805.420467386,39,1
141,39,A22,22740.5905766,0,POINT (617773.211171331 501213.6786255385),617773.211168404,37,1
257,89,S4,11786.9934587,0,POINT (620280.1352366947 436829.4645361686),620280.791935637,39,1
144,785,A22,17314.3132021,0,POINT (621627.9399340093 497847.7302301927),621627.939906654,41,1
137,763,A21,553.433916502291,0,POINT (622102.5983309417 473351.5582066607),622104.476772339,34,1
128,242,A2,6003.2529459,0,POINT (622390.9863429217 471649.479697437),622372.340737513,43,1
0,920,,0,0,POINT (622557.9713806146 477377.5720088077),622556.606399998,42,0
234,960,S1B,19601.0745683,0,POINT (623018.7774562048 500291.7920384266),623015.27826219,40,1
111,190,A2,2142.13243067,0,POINT (623185.1053815696 475410.3910077999),623165.886199299,44,1
230,311,S1A,16087.2434382,0,POINT (623241.8360777737 474316.3037737325),623241.83603299,45,0
112,318,A2,15991.4857825,1,POINT (623410.1522467852 462171.4625943705),623395.634242159,38,1
138,421,A22,11813.8264144,0,POINT (623905.9321417237 493020.5815565721),623905.932126566,41,1
227,392,S1A,12173.5529021,0,POINT (624024.286348452 474667.0472106669),624024.286340937,45,0
99,273,A2,11936.0403321,0,POINT (624157.8052310122 466060.1841512334),624140.042074463,43,1
0,708,,0,0,POINT (624969.9312366188 476957.6668775579),624968.620700002,46,0
139,742,A22,8417.23302677,0,POINT (625669.6638075699 490118.606660968),625669.663789924,41,1
151,524,A3,9421.06124585,1,POINT (626471.6087889033 455194.5621639731),626471.60879077,47,0
140,775,A22,5862.2048159,0,POINT (627021.596491306 487951.6590241292),627021.596524241,41,1
0,750,,0,0,POINT (627426.5734535683 478945.5687094413),627430.918300003,46,0
0,928,,0,0,POINT (628290.876049648 480533.791937882),628296.180100001,46,0
142,907,A22,3668.74715433,0,POINT (628382.4811359504 486232.7020434054),628382.481118785,41,1
239,485,S31,23608.9147174,0,POINT (628704.5057149201 426819.0787587565),628695.440234724,48,0
0,627,,0,0,POINT (628773.2053736869 481212.4386893722),628769.884499997,46,0
242,3094,S31,17099.0301577,0,POINT (629169.0113053431 432377.0728884005),629162.357192682,48,0
258,538,S4,1416.91402885,0,POINT (629772.710511924 433419.8396557638),629775.438164986,39,1
0,1076,,0,0,POINT (629778.1766518578 482331.0341573887),629782.277800001,50,0
153,55,A3,17080.5593615,0,POINT (630282.6253586831 448761.8831094939),630282.625383252,47,0
0,940,,0,0,POINT (630667.3121304027 483312.3990696706),630674.456799999,50,0
146,734,A22,348.452158017536,0,POINT (630713.2561458325 483872.8011665798),630713.256165517,41,1
161,86,A4,2761.62546641,0,POINT (630963.2373313863 480748.291526029),630933.699873325,51,0
233,800,S1B,10556.7073895,0,POINT (631277.1762470751 499004.6040142711),631275.046376146,40,1
238,98,S31,36953.0224377,0,POINT (631566.5832875287 414494.6464018491),631564.477165275,48,0
228,329,S1A,5628.08917078,1,POINT (631766.5721600795 474120.4234390209),631766.572159604,45,0
0,949,,0,0,POINT (631766.0248476409 486139.2507254396),631767.598800004,54,0
240,104,S31,39183.4610831,0,POINT (631821.4384886379 412319.6110208836),631813.897623205,48,0
157,47,A4,5121.99139471,0,POINT (632389.8188219797 479011.446618815),632381.148201419,51,0
236,620,S2,5155.2482775,0,POINT (633224.8455051148 489025.4792825692),633224.845487214,54,0
165,35,A5,1247.22890493,0,POINT (633433.1593454144 500805.114476634),633433.159352535,55,0
241,532,S31,10150.9760569,0,POINT (633535.9105596127 437540.6541302821),633528.321215627,53,0
229,335,S1A,5007.85272233,1,POINT (633847.9138943111 473991.3708163568),633847.913899495,45,0
232,891,S1A,1047.28964024,0,POINT (634245.4133857564 474219.5351079653),634245.413392983,45,0
152,526,A3,26315.2548265,0,POINT (634559.3804626244 441318.1080711285),634559.380464023,47,0
231,344,S1A,812.423546001537,0,POINT (634648.2083793177 476190.1356457397),634648.208419521,45,0
226,320,S1A,1266.90468826,1,POINT (634754.681531983 475748.6978001454),634754.681511194,45,0
235,711,S1B,5758.72844808,0,POINT (635544.7655653339 497722.2252916748),635554.45483097,54,1
155,136,A4,11942.3188999,0,POINT (637883.7897778373 475550.7292075645),637875.52692682,56,0
243,92,S31,3383.68802255,0,POINT (639260.6961913585 440997.3957106755),639258.218041191,57,0
160,980,A4,14601.4703087,0,POINT (640425.0461341687 474935.2181740939),640424.812655729,56,0
167,390,A5,21045.4473302,0,POINT (641863.6527713261 517325.0771887956),641863.652757837,55,0
168,437,A5,26294.597681,0,POINT (643483.2113599466 522025.8619643198),643483.211392939,55,0
169,443,A5,44570.749893,0,POINT (644688.1863012667 536999.5733887539),644688.186269006,55,0
158,17,A4,26745.7604625,0,POINT (650087.9934105698 468628.8906365091),650081.438889275,56,0
162,23,A4,34620.7722812,0,POINT (657334.5234383259 466032.2913524442),657333.005434995,56,0
163,29,A4,37470.118215,0,POINT (660056.1417560676 465195.3409508546),660052.501743744,56,0
159,61,A4,43415.4864944,0,POINT (661315.6931101979 459870.4850286986),661306.567066938,59,0
171,756,A6,2471.56311302,0,POINT (663423.2425628651 464805.7878171985),663424.377170441,60,0
154,67,A4,55191.3665771,0,POINT (671718.9319485505 455231.8965580767),671716.672409556,59,0
170,762,A6,20446.8808315,0,POINT (677015.1834524676 470902.2549919063),677007.849149906,60,0
164,479,A4,61398.9132259,0,POINT (677477.1295282989 453266.8164681375),677475.398298045,59,0
156,75,A4,65552.4309708,1,POINT (681320.6151875067 454463.6412877042),681319.710523929,59,0
